255, 133, 78
255, 134, 74
255, 135, 70
255, 137, 67
255, 138, 65
255, 140, 62
255, 141, 59
255, 142, 56
255, 143, 53
255, 145, 49
255, 146, 45
255, 147, 41
255, 148, 36
255, 149, 29
255, 150, 21
255, 151, 9
254, 153, 3
253, 154, 10
251, 156, 15
249, 157, 19
248, 158, 23
246, 159, 26
245, 161, 29
243, 162, 31
242, 163, 34
241, 164, 36
239, 165, 38
238, 166, 40
237, 167, 42
235, 168, 43
234, 169, 45
233, 170, 46
232, 171, 48
231, 172, 49
230, 173, 51
228, 174, 52
227, 175, 53
226, 176, 55
225, 177, 56
224, 178, 57
223, 178, 58
222, 179, 60
221, 180, 61
220, 181, 62
219, 182, 63
218, 182, 64
217, 183, 65
216, 184, 66
215, 185, 67
214, 186, 68
213, 186, 69
212, 187, 70
211, 188, 72
210, 189, 73
209, 189, 74
208, 190, 75
207, 191, 76
206, 191, 77
205, 192, 78
204, 193, 79
203, 194, 80
202, 194, 81
201, 195, 82
200, 196, 83
199, 196, 84
198, 197, 85
197, 197, 85
195, 198, 85
193, 198, 85
192, 198, 85
190, 198, 84
188, 198, 84
187, 198, 84
185, 198, 84
183, 198, 83
181, 198, 83
180, 198, 83
178, 198, 83
176, 198, 82
174, 198, 82
172, 198, 82
170, 199, 82
168, 199, 81
166, 199, 81
164, 199, 81
162, 199, 81
160, 199, 80
158, 199, 80
156, 199, 80
154, 199, 80
151, 199, 79
149, 199, 79
146, 200, 79
144, 200, 78
141, 200, 78
139, 200, 78
136, 200, 78
133, 200, 77
130, 200, 77
127, 201, 77
123, 201, 76
120, 201, 76
116, 201, 76
112, 201, 75
108, 202, 75
103, 202, 75
99, 202, 74
93, 202, 74
87, 202, 73
81, 203, 73
74, 203, 73
73, 203, 79
73, 202, 86
74, 201, 91
74, 201, 96
75, 200, 101
75, 200, 105
76, 199, 109
76, 198, 112
77, 198, 115
77, 197, 118
77, 197, 121
78, 196, 123
78, 196, 125
78, 195, 128
79, 195, 130
79, 194, 132
79, 194, 133
80, 193, 135
80, 193, 137
80, 192, 138
80, 192, 140
81, 191, 141
81, 191, 142
81, 190, 144
82, 190, 145
82, 189, 146
82, 189, 147
82, 188, 148
82, 188, 149
83, 187, 150
83, 187, 151
83, 186, 152
83, 186, 153
84, 185, 154
84, 185, 154
84, 185, 155
84, 184, 156
84, 184, 157
85, 183, 157
85, 183, 158
85, 182, 159
85, 182, 159
85, 181, 160
85, 181, 160
86, 181, 161
86, 180, 161
86, 180, 162
86, 179, 162
86, 179, 163
86, 178, 163
86, 178, 164
87, 177, 164
87, 177, 165
87, 177, 165
87, 176, 165
87, 176, 166
87, 175, 166
87, 175, 167
88, 174, 167
88, 174, 167
88, 174, 168
88, 173, 168
88, 173, 168
88, 172, 169
88, 172, 169
89, 171, 169
89, 171, 170
89, 171, 170
89, 170, 170
88, 170, 171
88, 169, 171
88, 169, 171
87, 169, 172
87, 168, 172
86, 168, 173
86, 168, 173
86, 167, 173
85, 167, 174
85, 167, 174
84, 166, 175
84, 166, 175
84, 165, 175
83, 165, 176
83, 165, 176
82, 164, 177
82, 164, 177
82, 164, 178
81, 163, 178
81, 163, 179
80, 162, 179
80, 162, 180
79, 162, 180
79, 161, 181
78, 161, 181
78, 160, 182
77, 160, 182
77, 160, 183
76, 159, 184
76, 159, 184
75, 158, 185
75, 158, 186
74, 158, 186
74, 157, 187
73, 157, 188
73, 156, 189
72, 156, 190
71, 156, 190
71, 155, 191
70, 155, 192
69, 154, 193
69, 154, 195
68, 153, 196
67, 153, 197
66, 152, 198
65, 152, 199
64, 151, 201
63, 151, 202
62, 150, 204
61, 150, 206
60, 149, 207
59, 149, 209
57, 148, 211
56, 148, 214
54, 147, 216
52, 146, 219
50, 146, 221
47, 145, 224
45, 144, 228
41, 143, 231
37, 142, 235
32, 142, 239
44, 140, 239
53, 139, 239
61, 138, 239
68, 137, 239
74, 136, 239
80, 134, 239
85, 133, 239
90, 132, 238
94, 131, 238
98, 129, 238
102, 128, 237
106, 127, 237
110, 126, 237
113, 125, 236
